,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_race,equal_opp_race,equal_odds_race,avg_odds_diff_race,tpr_race,fpr_race,fnr_race
MLP,0.5400339417421786,0.5400339417421786,0.8750001574842546,0.5591492846596361,0.8718762113937449,-0.14829688358298146,-0.24851373953951614,0.24851373953951614,-0.15647604892291678,0.49360067746847885,0.051933797050581175,0.5063993225315211,PyTorchMLPWrapper(input_dim=56),,,,,,,,
RW,,,0.8579,0.29618623080733036,0.8534570138048041,-0.0696153757530294,-0.18704363903017443,0.18704363903017443,-0.10616641896547224,0.18606098319850653,0.013463600619563922,0.8139390168014935,PyTorchMLPWrapper(input_dim=56),,,,,,,,
PR_eta_100.0,,,0.8438,0.0768321513002364,0.7137039185245713,-0.014438130618117766,-0.03998034137360751,0.03998034137360751,-0.02232783324696786,0.04044803982576229,0.0023829381627546767,0.9595519601742377,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7fa0908eb710>,100.0,,,,,,,
DIR_rl_0.1,,,0.8579,0.29688273132112813,0.8577291755931079,-0.07201175660348857,-0.2035701469716354,0.2035701469716354,-0.11455853891558417,0.18668326073428748,0.013582747527701656,0.8133167392657125,PyTorchMLPWrapper(input_dim=56),0.1,,,,,,,
EGR_EqualizedOdds_eps_0.01,,,0.8682,0.4694041867954911,0.6805314396957609,-0.0557212952745725,0.002307158236340423,0.011065798460803956,-0.004379320112231766,0.04044803982576229,0.0023829381627546767,0.9595519601742377,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7fa097a87850>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0008348868655369468))",0.01,,,,,,,
ADV_ep_10_bs_64,,,0.8697,0.4764965849738851,0.8667720329658067,-0.06991300318237328,-0.046997378849814364,0.046997378849814364,-0.0331803993076971,0.04044803982576229,0.0023829381627546767,0.9595519601742377,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7fa08a3da890>,10,,,,,,,
MLRW,,,0.8624,0.3466286799620133,0.8593523390569571,-0.08364962914982245,-0.22474607607576375,0.22474607607576375,-0.1272445090003477,0.2271313005600498,0.01596568569045633,0.7728686994399502,PyTorchMLPWrapper(input_dim=56),,-0.012443397224277175,0.00037997447499710235,0.004763095097690288,-0.002191560311346593,0.2271313005600498,0.01596568569045633,0.7728686994399502
