,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
DT,0.750607579585354,0.5280822386401877,0.9049198452183527,0.5652598226527411,0.8880155778608895,-0.001879791275057413,-0.0033503607683862033,0.04852151602361839,-0.00808495210723297,0.49308622065784613,0.036033795730161765,0.5069137793421539,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 DecisionTreeClassifier(max_depth=10, min_samples_split=5,
                                        random_state=57))])",,,,,,,,
RW,,,0.9028192371475954,0.5598397596394592,0.8898940726343167,-0.006861386629879007,-0.0172560912330062,0.0172560912330062,-0.016897382380312444,0.49251101321585905,0.03830594184576486,0.507488986784141,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 DecisionTreeClassifier(max_depth=10, min_samples_split=5,
                                        random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.8920950801547817,0.41346153846153844,0.8542775831630067,0.042372771063561195,0.18871579627088547,0.18871579627088547,0.1000828027632285,0.3030837004405286,0.02338811630847029,0.6969162995594713,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7a8a75a46e10>,1.0,,,,,,,
DIR_rl_0.1,,,0.9035931453841901,0.5618090452261306,0.888561738055325,-0.0013634722034686908,0.0023753790805207675,0.013372142758912686,-0.005498381839195959,0.49251101321585905,0.03742098609355247,0.507488986784141,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 DecisionTreeClassifier(max_depth=10, min_samples_split=5,
                                        random_state=57))])",0.1,,,,,,,
EGR_EqualizedOdds_eps_0.001,,,0.8945273631840795,0.43214285714285716,0.6545532616383656,-0.0038270763414288977,-0.0013606540364148323,0.011665567571606313,-0.0065131108040105724,0.3030837004405286,0.02338811630847029,0.6969162995594713,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7a88734b75d0>,
                      eps=0.001,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0007963646246732466))",0.001,,,,,,,
ADV_ep_10_bs_32,,,0.894195688225539,0.3422680412371134,0.9009859821672226,0.023250200504637226,0.09863012119045694,0.09863012119045694,0.05214590715830949,0.3030837004405286,0.02338811630847029,0.6969162995594713,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7a88739d4450>,10,,,,,,,
MLRW,,,0.9024875621890547,0.5348101265822784,0.8712955774489437,0.0015206629586187737,0.017676971506982053,0.017676971506982053,0.0030866451753345393,0.44669603524229073,0.03211125158027813,0.5533039647577093,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 DecisionTreeClassifier(max_depth=10, min_samples_split=5,
                                        random_state=57))])",,-0.041793831814068254,0.04911975657465767,0.04911975657465767,0.0226066012058614,0.44669603524229073,0.03211125158027813,0.5533039647577093
