,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
GBM,0.8280159227686752,0.7809641142675232,0.8587570621468927,0.8234644718853108,0.9299245710736734,0.05151097461048665,0.020852672611320105,0.05902716868055299,0.004570519248824942,0.8436521283266797,0.13212142467461616,0.15634787167332034,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",,,,,,,,
RW,,,0.8621468926553673,0.8286516853932584,0.930474975066222,0.025925925925925963,-0.021311194796302613,0.021311194796302613,-0.01902952549509563,0.8526011560693642,0.13172541743970315,0.14739884393063585,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.7796610169491526,0.7202295552367288,0.8314047636921293,0.11682539682539683,0.24075659020883255,0.24075659020883255,0.10468724474006988,0.7254335260115607,0.18552875695732837,0.2745664739884393,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x78338c442190>,1.0,,,,,,,
DIR_rl_0.1,,,0.864406779661017,0.830028328611898,0.9341480154857529,0.04730158730158729,0.016175967134543057,0.016175967134543057,0.0044646492945552355,0.846820809248555,0.12430426716141002,0.1531791907514451,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",0.1,,,,,,,
EGR_EqualizedOdds_eps_0.01,,,0.7559322033898305,0.6878612716763006,0.7724323570731498,0.024338624338624326,-0.03380691543991787,0.03380691543991787,-0.00954607618286002,0.7254335260115607,0.18552875695732837,0.2745664739884393,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x78333f5bd510>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.003436979016049818))",0.01,,,,,,,
ADV_ep_50_bs_32,,,0.8101694915254237,0.7620396600566572,0.8881679839565885,0.17216931216931214,0.22911674084217737,0.22911674084217737,0.14753071230280695,0.7254335260115607,0.18552875695732837,0.2745664739884393,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x78339eb6c490>,50,,,,,,,
MLRW,,,0.8576271186440678,0.8220338983050848,0.9303730951129794,0.02560846560846558,-0.0055631633002395375,0.027597729377189087,-0.016580446338714312,0.8410404624277457,0.13172541743970315,0.15895953757225434,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",,0.06549626359837324,0.08106205763891605,0.08106205763891605,0.02819564690549841,0.8410404624277457,0.13172541743970315,0.15895953757225434
