Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Gender,0.88328314,0.8121056271069237,1.0340042509801668,0.025467618934936653,-0.050444964671468084,0.050444964671468084,-0.01280469071233492
ORIGINAL,Age,0.88328314,0.8121056271069237,0.73354026719328,-0.21551774186468353,-0.06006614744478822,0.22070932240832225,-0.14038773492655524
MMRW,Gender,0.8802711,0.8122291098131706,1.0000000000000002,1.1102230246251565e-16,-0.06250399764618586,0.06250399764618586,-0.035059544686713545
MMRW,Age,0.8802711,0.8122291098131706,1.0000000000000002,1.1102230246251565e-16,-0.025952203136669127,0.08101377676025223,-0.05348298994846068
RW_SEX_AGE,Gender,0.8810241,0.8137819048442265,1.0240910323087271,0.018103347095958178,-0.06250399764618586,0.06250399764618586,-0.032723096088582704
RW_SEX_AGE,Age,0.8810241,0.8137819048442265,0.9999999999999999,-1.1102230246251565e-16,-0.025952203136669127,0.08876571474474831,-0.05735895894070872
RW_AGE_SEX,Gender,0.8795181,0.8106763147821148,1.0000000000000002,1.1102230246251565e-16,-0.06250399764618586,0.06250399764618586,-0.04436207151260485
RW_AGE_SEX,Age,0.8795181,0.8106763147821148,0.9939660630517654,-0.004579691329044344,-0.025952203136669127,0.0732618387757561,-0.04960702095621261
