Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Gender,0.8915663,0.8276407187143322,0.8645939905356996,-0.10850260399022549,-0.022622144486962092,0.07321772639691715,0.025297790954977528
ORIGINAL,Age,0.8915663,0.8276407187143322,0.6958428451279587,-0.2574650308640456,-0.11536989185568003,0.11536989185568003,-0.07740090248590184
MMRW,Gender,0.8817771,0.8022760973419711,0.9999999999999997,-2.220446049250313e-16,0.0031917821597577944,0.1312725140320013,0.06723214809587955
MMRW,Age,0.8817771,0.8022760973419711,1.0000000000000002,1.1102230246251565e-16,-0.05024404249210457,0.1769005847953216,0.06332827115160852
RW_SEX_AGE,Gender,0.8817771,0.8000439474274946,1.0513805708293678,0.03855649908185099,0.018356076815853273,0.1848454385524001,0.10160075768412669
RW_SEX_AGE,Age,0.8817771,0.8000439474274946,1.0000000000000002,1.1102230246251565e-16,-0.05823523782180118,0.16261487050960732,0.05218981634390307
RW_AGE_SEX,Gender,0.8802711,0.800176738215608,1.0000000000000002,2.220446049250313e-16,0.004638960162652195,0.12549216721119205,0.06506556368692212
RW_AGE_SEX,Age,0.8802711,0.800176738215608,1.0144751766732907,0.011004772801355589,-0.04895205282802184,0.18274853801169588,0.06689824259183702
