Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Gender,0.7703313,0.7733143939393939,0.8083082099941071,-0.0804731224431991,-0.2449934894760265,0.2449934894760265,-0.14848838295875366
ORIGINAL,Age,0.7703313,0.7733143939393939,1.172808962539386,0.06500153636802597,0.1914580265095729,0.1914580265095729,0.04643978594698328
MMRW,Gender,0.76581323,0.7763257575757576,1.0000000000000002,5.551115123125783e-17,-0.16424650986468003,0.16424650986468003,-0.0666433787713493
MMRW,Age,0.76581323,0.7763257575757576,1.0000000000000002,5.551115123125783e-17,0.1276141384388807,0.14894151117061333,-0.010663686365866315
RW_SEX_AGE,Gender,0.7612952,0.7722537878787878,0.9810803530679278,-0.007456917393439233,-0.1614609945443457,0.1614609945443457,-0.07031134985612142
RW_SEX_AGE,Age,0.7612952,0.7722537878787878,0.9999999999999999,-5.551115123125783e-17,0.13019145802650955,0.1494528584311866,-0.009630700202338527
RW_AGE_SEX,Gender,0.7635542,0.7741287878787879,0.9999999999999999,-5.551115123125783e-17,-0.1614609945443457,0.1614609945443457,-0.06462877993206542
RW_AGE_SEX,Age,0.7635542,0.7741287878787879,1.0280653766913614,0.010915829760463291,0.13019145802650955,0.14468338307347595,-0.007245962523483196
