Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Gender,0.6430723,0.6526537915715431,0.5771475314984588,-0.2085992824909081,-0.4468181818181818,0.526874643499627,-0.4868464126589044
ORIGINAL,Age,0.6430723,0.6526537915715431,1.4333673773124507,0.13835503097305352,0.24087361530715,0.31124435175530063,0.2760589835312253
MMRW,Gender,0.64683735,0.6429900660208552,1.0000000000000002,5.551115123125783e-17,-0.12181818181818183,0.12181818181818183,-0.07180154845812342
MMRW,Age,0.64683735,0.6429900660208552,0.9999999999999993,-2.220446049250313e-16,0.0633392077878483,0.0633392077878483,0.025343569830663798
RW_SEX_AGE,Gender,0.6641566,0.6401456160918122,1.0520567025259304,0.017684748932826122,-0.041818181818181754,0.041818181818181754,-0.005449772172162554
RW_SEX_AGE,Age,0.6641566,0.6401456160918122,1.0,0.0,0.019595501846257135,0.019595501846257135,0.008746308448328438
RW_AGE_SEX,Gender,0.61671686,0.6391349416918615,0.9999999999999999,-5.551115123125783e-17,-0.07272727272727275,0.07272727272727275,-0.04547176384085691
RW_AGE_SEX,Age,0.61671686,0.6391349416918615,0.87166848877557,-0.04654782006274666,-0.10341137965760316,0.15459680222453948,-0.12900409094107132
