,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
MLP,0.9112062386753396,0.9112062386753396,0.8700564971751413,0.9128529199099472,0.9006812824950607,-0.16192234352216753,-0.010416263042336263,0.18596529738682735,-0.09819078021458182,0.9464389704169579,0.32717338143494973,0.05356102958304216,PyTorchMLPWrapper(input_dim=36),,,,,,,,
RW,,,0.8293785310734463,0.8920657612580415,0.8729067212245206,-0.15015873015873016,0.013736986216605018,0.27710843373493976,-0.13168572375916737,0.9811320754716981,0.5582329317269076,0.018867924528301886,PyTorchMLPWrapper(input_dim=36),,,,,,,,
PR_eta_25.0,,,0.8587570621468926,0.906785980611484,0.887834356293097,-0.15164021164021158,0.005816561731355252,0.20481927710843373,-0.09950135768853924,0.9559748427672956,0.3895582329317269,0.0440251572327044,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7833bc4fedd0>,25.0,,,,,,,
DIR_rl_0.5,,,0.8293785310734463,0.8920657612580415,0.8673688464550022,-0.14391534391534389,0.013736986216605018,0.25903614457831325,-0.12264957918085412,0.9811320754716981,0.5582329317269076,0.018867924528301886,PyTorchMLPWrapper(input_dim=36),0.5,,,,,,,
EGR_EqualizedOdds_eps_0.1,,,0.8632768361581921,0.9084027252081757,0.8307822484908185,-0.13449735449735456,0.021533654069272767,0.16867469879518074,-0.07357052236295399,0.960691823899371,0.43775100401606426,0.03930817610062893,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7833bc361a50>,
                      eps=0.1,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0028346157018059393))",0.1,,,,,,,
ADV_ep_20_bs_32,,,0.8666666666666667,0.9085271317829458,0.9028061933267663,-0.1385185185185186,0.009683956499543678,0.13855421686746985,-0.06443513018396309,0.960691823899371,0.43775100401606426,0.03930817610062893,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x783364226350>,20,,,,,,,
MLRW,,,0.847457627118644,0.898572501878287,0.8829310954509862,-0.20550264550264552,-0.04340763887814614,0.27710843373493976,-0.16025803630654295,0.940251572327044,0.3895582329317269,0.059748427672955975,PyTorchMLPWrapper(input_dim=36),,0.19333318643059394,0.07204453164210434,0.2111957644628099,0.14162014805245712,0.940251572327044,0.3895582329317269,0.059748427672955975
