Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Gender,0.8870482,0.8298641192832065,0.9138709770073673,-0.06450667412418931,-0.04103527145780672,0.04103527145780672,-0.017713897411146345
ORIGINAL,Age,0.8870482,0.8298641192832065,0.6751649799647899,-0.2555227828510176,-0.05892675718112128,0.24098642110191976,-0.14995658914152052
MMRW,Gender,0.88554215,0.8262619123614974,0.9999999999999997,-2.220446049250313e-16,-0.0147490068616829,0.0147490068616829,-0.005910328976012791
MMRW,Age,0.88554215,0.8262619123614974,1.0,0.0,-0.008235583879806607,0.11858904323396285,-0.06341231355688473
RW_SEX_AGE,Gender,0.88328314,0.8221410332406183,1.0280165378802795,0.020146721155197,-0.0147490068616829,0.022928348909657337,0.004089671023987218
RW_SEX_AGE,Age,0.88328314,0.8221410332406183,0.9999999999999999,-1.1102230246251565e-16,-0.008235583879806607,0.1098173872327142,-0.0590264855562604
RW_AGE_SEX,Gender,0.88478917,0.824888285987871,1.0000000000000002,2.220446049250313e-16,-0.0147490068616829,0.0147490068616829,-0.002576995642679436
RW_AGE_SEX,Age,0.88478917,0.824888285987871,1.0061445704711092,0.004456105536582822,-0.008235583879806607,0.11187763383798968,-0.060056608858898144
