,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_age,equal_opp_age,equal_odds_age,avg_odds_diff_age,tpr_age,fpr_age,fnr_age
MLP,0.9189849469648609,0.9189849469648609,0.864406779661017,0.9112496076907304,0.9004410000523725,0.016064111000559378,0.0030207073372540507,0.063599105671508,-0.030289199167126978,0.9598324926363571,0.3828374254404217,0.040167507363642906,"PyTorchMLPWrapper(epochs=10, input_dim=36, lr=0.01)",,,,,,,,
RW,,,0.8372881355932204,0.8950437317784257,0.8728262406333946,0.06738094972503261,0.05060065920721657,0.05060065920721657,0.03018978538592121,0.9548989113530326,0.47520661157024796,0.04510108864696734,"PyTorchMLPWrapper(epochs=10, input_dim=36, lr=0.01)",,,,,,,,
PR_eta_100.0,,,0.8497175141242937,0.9009679821295606,0.880840070434302,-0.022895356230548725,-0.005334374186833135,0.18055555555555558,-0.09294496487119436,0.9409020217729394,0.3925619834710744,0.05909797822706065,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x78ee69c977d0>,100.0,,,,,,,
DIR_rl_0.75,,,0.8192090395480226,0.8871650211565585,0.8614609976479055,0.054156859682978786,0.016013964784456602,0.0707199546485261,0.04336695971649135,0.9782270606531882,0.6033057851239669,0.02177293934681182,"PyTorchMLPWrapper(epochs=10, input_dim=36, lr=0.01)",0.75,,,,,,,
EGR_EqualizedOdds_eps_0.01,,,0.847457627118644,0.8982667671439337,0.8074463709625592,0.018188004060370022,0.0014745424581490418,0.057681405895691595,-0.028103431718771277,0.9409020217729394,0.3925619834710744,0.05909797822706065,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x78ee98613450>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.002751839038753313))",0.01,,,,,,,
ADV_ep_50_bs_64,,,0.8700564971751412,0.9152542372881356,0.8973625695667263,0.031239193726505077,0.004250151791135415,0.022959183673469385,-0.009354515941166985,0.9409020217729394,0.3925619834710744,0.05909797822706065,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x78eeaee5d950>,50,,,,,,,
MLRW,,,0.8135593220338984,0.8672566371681416,0.8608376283690861,0.0833268263299386,0.06318848122126808,0.06318848122126808,0.03761748324101952,0.838258164852255,0.25206611570247933,0.16174183514774496,"PyTorchMLPWrapper(epochs=10, input_dim=36, lr=0.01)",,-0.40622009569377987,-0.2552440823657708,0.313671792711186,-0.28445793753847837,0.838258164852255,0.25206611570247933,0.16174183514774496
