,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_age,equal_opp_age,equal_odds_age,avg_odds_diff_age,tpr_age,fpr_age,fnr_age
LGBM,0.9506084563417155,0.9147065210766538,0.8779661016949153,0.9160868320360116,0.9235210825110939,0.1253135981998559,0.02572513417837156,0.06569310967266286,0.03144443843421502,0.959314403138427,0.3065513894855028,0.04068559686157295,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(max_depth=20, n_estimators=50,
                                random_state=57))])",,,,,,,,
RW,,,0.8836158192090395,0.9197194076383476,0.9208084426121135,0.1330405308107271,0.03445843080464883,0.03445843080464883,0.03435661924847827,0.9609120521172638,0.2915129151291513,0.03908794788273615,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(max_depth=20, n_estimators=50,
                                random_state=57))])",,,,,,,,
PR_eta_100.0,,,0.847457627118644,0.8997772828507795,0.8959097082827504,0.08926415366040075,0.011486143601549648,0.01458697552447552,0.013036559563012584,0.9869706840390879,0.46863468634686345,0.013029315960912053,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x78ee69522b10>,100.0,,,,,,,
DIR_rl_0.1,,,0.8858757062146893,0.921644685802948,0.9205500198324459,0.12403491476234252,0.02111569071577979,0.03343531468531469,0.02727550270054724,0.9674267100977199,0.2988929889298893,0.03257328990228013,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(max_depth=20, n_estimators=50,
                                random_state=57))])",0.1,,,,,,,
EGR_EqualizedOdds_eps_0.01,,,0.880225988700565,0.9190839694656489,0.8331099679074967,0.11212158135516248,0.0020298788261359224,0.050316870629370625,0.026173374727753274,0.9869706840390879,0.46863468634686345,0.013029315960912053,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x78ee9164d450>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0026903280353359513))",0.01,,,,,,,
ADV_ep_10_bs_32,,,0.8745762711864407,0.9149425287356322,0.9045818959818263,0.13269714323692638,0.020608221009245864,0.07992788461538464,0.05026805281231525,0.9869706840390879,0.46863468634686345,0.013029315960912053,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x78ee6979af90>,10,,,,,,,
MLRW,,,0.8745762711864407,0.9138867339022498,0.9191016502998905,0.1387396568339666,0.03969403289888973,0.053594842657342656,0.04664443777811619,0.9592833876221498,0.3173431734317343,0.04071661237785016,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(max_depth=20, n_estimators=50,
                                random_state=57))])",,-0.23715925394548065,-0.0016428354122299815,0.10570299265951444,-0.05367291403587221,0.9592833876221498,0.3173431734317343,0.04071661237785016
