dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
German_Age_bias1,age,xFAIR,0.565,0.49122807017543857,0.5526315789473685,0.14,0.24,0.24,0.09,0.35,
German_Age_bias1,age,FairC,0.57,0.5742574257425742,0.5420560747663551,0.04,-0.05,0.16,-0.11,0.08,
German_Age_bias2,sex,Fair-SMOTE,0.61,0.5568181818181818,0.5212765957446809,0.01,0.14,0.14,0.11,0.02,0.235
German_Age_bias2,sex,Random,0.625,0.4,0.5813953488372093,0.1,0.02,0.18,0.1,0.52,0.145
German_Age_bias2,sex,xFAIR,0.595,0.4840764331210191,0.4222222222222222,0.01,0.03,0.05,0.04,0.03,
German_Age_bias2,sex,FairC,0.6,0.4805194805194805,0.42528735632183906,0.1,-0.06,0.13,0.04,0.25,
German_Age_bias2,age,Fair-SMOTE,0.57,0.45569620253164556,0.47368421052631576,0.08,0.12,0.12,0.0,0.2,0.115
German_Age_bias2,age,Random,0.62,0.4492753623188406,0.5535714285714286,0.14,0.25,0.25,0.05,0.45,0.24
German_Age_bias2,age,xFAIR,0.595,0.4489795918367347,0.4125,0.01,-0.01,0.09,-0.05,0.02,
German_Age_bias2,age,FairC,0.57,0.47560975609756095,0.4020618556701031,0.01,-0.1,0.18,-0.14,0.03,
German_Age_bias3,sex,Fair-SMOTE,0.62,0.6833333333333333,0.8723404255319149,0.02,0.04,0.11,0.08,0.04,0.165
German_Age_bias3,sex,Random,0.69,0.8121212121212121,0.7282608695652174,0.09,-0.08,0.1,0.01,0.1,0.135
German_Age_bias3,sex,xFAIR,0.535,0.6042553191489362,0.797752808988764,0.11,0.07,0.18,-0.05,0.23,
German_Age_bias3,sex,FairC,0.73,0.8439306358381503,0.73,0.0,0.0,0.0,0.0,0.0,
German_Age_bias3,age,Fair-SMOTE,0.61,0.6854838709677419,0.8333333333333334,0.06,-0.07,0.08,-0.08,0.13,0.215
German_Age_bias3,age,Random,0.66,0.7687074829931972,0.7635135135135135,0.33,-0.29,0.41,0.06,0.49,0.335
German_Age_bias3,age,xFAIR,0.585,0.6795366795366795,0.7787610619469026,0.02,-0.08,0.08,-0.06,0.03,
German_Age_bias3,age,FairC,0.725,0.8405797101449275,0.7286432160804021,0.01,-0.01,0.01,0.0,0.01,
German_Age_bias4,sex,Fair-SMOTE,0.62,0.7054263565891473,0.8272727272727273,0.18,-0.13,0.28,0.08,0.36,0.205
German_Age_bias4,sex,Random,0.705,0.8238805970149253,0.7379679144385026,0.09,-0.1,0.1,-0.02,0.1,0.12
German_Age_bias4,sex,xFAIR,0.59,0.6985294117647058,0.7851239669421488,0.01,-0.03,0.05,-0.04,0.02,
German_Age_bias4,sex,FairC,0.755,0.8603988603988604,0.755,0.0,0.0,0.0,0.0,0.0,
German_Age_bias4,age,Fair-SMOTE,0.57,0.635593220338983,0.8522727272727273,0.03,-0.01,0.09,-0.05,0.07,0.29
German_Age_bias4,age,Random,0.68,0.785234899328859,0.78,0.31,-0.27,0.41,0.07,0.46,0.32
German_Age_bias4,age,xFAIR,0.53,0.6209677419354839,0.7938144329896907,0.11,0.16,0.16,0.1,0.22,
German_Age_bias4,age,FairC,0.755,0.8595988538681948,0.7575757575757576,0.05,0.03,0.11,-0.04,0.05,
