dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Adult_Census_GenAlgo,race,Random,0.757656164,0.815891147,0.83011451,0.1,0.06,0.06,0.03,0.15,0.160309563
Adult_Census_GenAlgo,race,xFAIR,0.861470426,0.894501979,0.920943135,0.14,0.13,0.13,0.11,0.21,
Adult_Census_GenAlgo,race,FairC,0.761083472,0.816382021,0.848763251,0.1,0.05,0.05,0.03,0.15,
Adult_Census_2000,sex,Fair-SMOTE,0.8534,0.475304223,0.410891089,0.12,0.15,0.15,0.04,0.54,0.1352
Adult_Census_2000,sex,Random,0.8953,0.450393701,0.590096286,0.04,0.01,0.01,0,0.4,0.059
Adult_Census_2000,sex,xFAIR,0.8783,0.564579606,0.503188776,0.05,0.07,0.07,0.05,0.29,
Adult_Census_2000,sex,FairC,0.9024,0.444823663,0.736346516,0.03,-0.02,0.02,-0.01,0.47,
Adult_Census_2000,race,Fair-SMOTE,0.8551,0.472131148,0.413529036,0.08,0.15,0.15,0.04,0.5,0.1198
Adult_Census_2000,race,Random,0.895,0.471830986,0.579012346,0.02,0,0.01,0,0.24,0.0554
Adult_Census_2000,race,xFAIR,0.9019,0.631618475,0.585654596,0.03,0.11,0.11,0.06,0.21,
Adult_Census_2000,race,FairC,0.9064,0.492957746,0.735056543,0.02,-0.02,0.02,-0.02,0.33,
Adult_Census_2005,sex,Fair-SMOTE,0.7941,0.46449935,0.396184561,0.11,0.09,0.09,0.02,0.4,0.1419
Adult_Census_2005,sex,Random,0.8415,0.383028416,0.503067485,0.04,0,0.01,0,0.35,0.0932
Adult_Census_2005,sex,xFAIR,0.8236,0.554320364,0.473457057,0.08,0.09,0.09,0.05,0.3,
Adult_Census_2005,sex,FairC,0.8511,0.366652488,0.607042254,0.04,0.01,0.01,0,0.45,
Adult_Census_2005,race,Fair-SMOTE,0.7976,0.459112774,0.39934914,0.12,0.26,0.26,0.08,0.52,0.1606
Adult_Census_2005,race,Random,0.8393,0.418385813,0.493174061,0.05,0.08,0.08,0.02,0.41,0.102
Adult_Census_2005,race,xFAIR,0.8517,0.589082848,0.540142276,0.02,0.18,0.18,0.1,0.12,
Adult_Census_2005,race,FairC,0.8562,0.416396104,0.623329283,0.03,0.06,0.06,0.02,0.36,
Adult_Census_2010,sex,Fair-SMOTE,0.7861,0.472763125,0.387161889,0.12,0.08,0.08,0.01,0.38,0.1374
Adult_Census_2010,sex,Random,0.8409,0.351934827,0.493714286,0.04,0.05,0.05,0.02,0.4,0.0982
Adult_Census_2010,sex,xFAIR,0.8065,0.52862363,0.437853107,0.06,0.05,0.05,0.03,0.23,
Adult_Census_2010,sex,FairC,0.8483,0.326675544,0.587859425,0.03,0.03,0.03,0.02,0.42,
Adult_Census_2010,race,Fair-SMOTE,0.7872,0.468265867,0.386870355,0.08,0.14,0.14,0.04,0.32,0.1836
Adult_Census_2010,race,Random,0.8437,0.404571429,0.508133971,0.03,0.07,0.07,0.03,0.25,0.1003
Adult_Census_2010,race,xFAIR,0.8166,0.54468719,0.456892961,0.03,0.11,0.11,0.06,0.1,
Adult_Census_2010,race,FairC,0.8513,0.364801367,0.598039216,0.01,-0.03,0.03,-0.02,0.16,
Adult_Census_2015,sex,Fair-SMOTE,0.7536,0.463881636,0.377345133,0.09,0.04,0.05,-0.01,0.28,0.1487
Adult_Census_2015,sex,Random,0.8179,0.324805339,0.47300216,0.03,0.01,0.01,0,0.25,0.1016
Adult_Census_2015,sex,xFAIR,0.775,0.51319775,0.419823009,0.03,0.03,0.04,0.04,0.1,
Adult_Census_2015,sex,FairC,0.8302,0.334639498,0.565562914,0.04,0.03,0.03,0.01,0.43,
Adult_Census_2015,race,Fair-SMOTE,0.7609,0.459172133,0.383018868,0.12,0.13,0.13,0.02,0.41,0.1883
Adult_Census_2015,race,Random,0.8176,0.375770021,0.476976542,0.04,0.03,0.03,0,0.29,0.1158
Adult_Census_2015,race,xFAIR,0.8026,0.536402067,0.464039009,0.01,0.07,0.07,0.04,0.05,
Adult_Census_2015,race,FairC,0.8371,0.403078051,0.590128755,0.01,-0.01,0.01,-0.01,0.12,
