Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.75,0.6404585959574005,0.991179435483871,-0.00654511453950446,-0.00020145044319097583,0.06650246305418728,-0.03335195674868913
ORIGINAL,Age,0.75,0.6404585959574005,1.0838537020517396,0.06107862248213125,0.014973262032085488,0.06103286384976525,0.03800306294092537
MMRW,Sex,0.75333333,0.6567050641164964,1.0,0.0,-0.022763900080580157,0.05049261083743839,-0.036628255459009273
MMRW,Age,0.75333333,0.6567050641164964,0.9999999999999999,-1.1102230246251565e-16,-0.024598930481283365,0.20563380281690136,-0.11511636664909236
RW_SEX_AGE,Sex,0.76,0.6613779613127582,0.9851412831218619,-0.01104616090842836,-0.0364625302175664,0.05049261083743839,-0.043477570527502396
RW_SEX_AGE,Age,0.76,0.6613779613127582,1.0000000000000004,3.3306690738754696e-16,-0.036363636363636376,0.20563380281690136,-0.12099871959026887
RW_AGE_SEX,Sex,0.75666666,0.6590415127146272,1.0000000000000002,2.220446049250313e-16,-0.008058017727639033,0.05049261083743839,-0.02927531428253871
RW_AGE_SEX,Age,0.75666666,0.6590415127146272,1.005697542697186,0.004211615047167716,-0.0018716577540106583,0.20563380281690136,-0.10375273028545601
