,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
GBM,0.8638972544062378,0.6894519909080378,0.7348107945122871,0.7537102319711017,0.7684427803379417,0.06285658785658783,-0.06443237477720236,0.11915708812260534,0.005536959847304669,0.7714285714285715,0.30611559139784944,0.22857142857142856,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, n_estimators=50,
                                            random_state=57))])",,,,,,,,
RW,,,0.7,0.719626168224299,0.7446616541353384,0.03203463203463197,-0.06516976998904711,0.06516976998904711,-0.004911339028294659,0.7333333333333333,0.3368421052631579,0.26666666666666666,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, n_estimators=50,
                                            random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.71,0.7363636363636363,0.754185463659148,0.2727272727272728,0.11664841182913477,0.3874296435272045,0.25203902767816966,0.7714285714285715,0.35789473684210527,0.22857142857142856,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7b28dc646850>,1.0,,,,,,,
DIR_rl_0.25,,,0.7,0.7,0.7500751879699248,0.04761904761904756,0.01916757940854319,0.0375234521575985,-0.009177936374527657,0.6666666666666666,0.2631578947368421,0.3333333333333333,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, n_estimators=50,
                                            random_state=57))])",0.25,,,,,,,
EGR_EqualizedOdds_eps_0.1,,,0.705,0.7230046948356808,0.753032581453634,0.03809523809523807,-0.00766703176341732,0.021575984990619135,-0.014621508377018227,0.7714285714285715,0.35789473684210527,0.22857142857142856,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7b28dc50f1d0>,
                      eps=0.1,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.008005859673476026))",0.1,,,,,,,
ADV_ep_20_bs_32,,,0.725,0.7717842323651453,0.7861654135338346,-0.09696969696969704,-0.20043811610076667,0.20043811610076667,-0.13961868281586176,0.7714285714285715,0.35789473684210527,0.22857142857142856,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7b28dc5d83d0>,20,,,,,,,
MLRW,,,0.71,0.7238095238095238,0.7416541353383459,0.09090909090909094,0.004381161007667056,0.09193245778611636,0.04815680939689171,0.7238095238095238,0.30526315789473685,0.2761904761904762,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, n_estimators=50,
                                            random_state=57))])",,-0.016483516483516536,-0.026512013256006606,0.04519774011299432,0.009342863428493858,0.7238095238095238,0.30526315789473685,0.2761904761904762
