,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_age,equal_opp_age,equal_odds_age,avg_odds_diff_age,tpr_age,fpr_age,fnr_age
DT,0.9286164129279197,0.6126701064231873,0.635308306950098,0.6050333846944017,0.6315047855370436,0.1910830999066293,0.08265993265993264,0.2341209716209716,0.15000196961403856,0.6251920122887865,0.3506715506715507,0.37480798771121354,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=10, random_state=57))])",,,,,,,,
RW,,,0.58,0.5483870967741935,0.5497979797979798,0.0038853812530355025,0.08193277310924374,0.1501937984496124,-0.034130512670184326,0.5666666666666667,0.4090909090909091,0.43333333333333335,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=10, random_state=57))])",,,,,,,,
PR_eta_100.0,,,0.46,0.6223776223776224,0.5272727272727273,0.0038853812530353915,0.017857142857142905,0.018410852713178216,-0.00027685492801765577,0.9888888888888889,0.9727272727272728,0.011111111111111112,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7f275d2f8510>,100.0,,,,,,,
DIR_rl_1.0,,,0.665,0.6338797814207651,0.6650505050505051,0.19499757163671683,0.004201680672268893,0.2858527131782945,0.1450271969252817,0.6444444444444445,0.3181818181818182,0.35555555555555557,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=10, random_state=57))])",1.0,,,,,,,
EGR_DemographicParity_eps_0.001,,,0.625,0.5901639344262295,0.6331818181818183,0.025012141816415756,-0.018907563025210017,0.027131782945736427,-0.023019672985473222,0.9888888888888889,0.9727272727272728,0.011111111111111112,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.DemographicParity object at 0x7f275d308610>,
                      eps=0.001,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.007607695695296955))",0.001,,,,,,,
ADV_ep_20_bs_64,,,0.635,0.5921787709497207,0.6787878787878788,0.6117047110247693,0.47163865546218486,0.7005813953488372,0.586110025405511,0.9888888888888889,0.9727272727272728,0.011111111111111112,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7f27453163d0>,20,,,,,,,
MLRW,,,0.57,0.5222222222222223,0.5216161616161616,0.046138902379796065,0.10609243697478993,0.10609243697478993,0.016224513061038365,0.5222222222222223,0.39090909090909093,0.4777777777777778,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=10, random_state=57))])",,0.15930631175640247,0.018981018981019004,0.27393617021276595,0.14645859459689248,0.5222222222222223,0.39090909090909093,0.4777777777777778
