Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.7,0.6980125383486728,1.2782488479262673,0.14114071996259936,0.10417422867513604,0.10417422867513604,0.0831107744051682
ORIGINAL,Age,0.7,0.6980125383486728,0.8653421633554084,-0.07625000000000004,-0.10171428571428565,0.1952380952380952,-0.14847619047619043
MMRW,Sex,0.70666665,0.7054821928771509,1.0,0.0,-0.009800362976406518,0.15765330758087884,-0.08372683527864268
MMRW,Age,0.70666665,0.7054821928771509,1.0,0.0,-0.06171428571428572,0.16190476190476194,-0.11180952380952383
RW_SEX_AGE,Sex,0.70666665,0.7054821928771509,1.0478054078762813,0.025957166728118763,0.01796733212341195,0.15765330758087884,-0.06984298772873344
RW_SEX_AGE,Age,0.70666665,0.7054821928771509,1.0,0.0,-0.018000000000000016,0.16190476190476194,-0.08995238095238098
RW_AGE_SEX,Sex,0.71,0.7066159797252234,0.9999999999999998,-1.1102230246251565e-16,-0.02214156079854812,0.0915016900048286,-0.056821625401688364
RW_AGE_SEX,Age,0.71,0.7066159797252234,0.9169560028619936,-0.04653818977219859,-0.06657142857142861,0.2142857142857143,-0.14042857142857146
