Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.75333333,0.6360557437121759,1.1374361626478766,0.09939223936418895,0.054777902202314266,0.09682539682539681,0.07580164951385554
ORIGINAL,Age,0.75333333,0.6360557437121759,0.8780228854547599,-0.09395335183230702,-0.023386034255599486,0.23253968253968255,-0.12796285839764102
MMRW,Sex,0.74333334,0.614263505635445,0.9999999999999999,-1.1102230246251565e-16,0.027435610302351643,0.033333333333333326,0.030384471817842484
MMRW,Age,0.74333334,0.614263505635445,0.9999999999999996,-3.3306690738754696e-16,0.00691699604743079,0.0984126984126984,-0.0457478511826338
RW_SEX_AGE,Sex,0.75,0.6151518516462162,1.0311423536350344,0.023257191973083513,0.0264091078760732,0.08333333333333337,0.054871220604703286
RW_SEX_AGE,Age,0.75,0.6151518516462162,1.0000000000000002,2.220446049250313e-16,0.026350461133069936,0.04841269841269835,-0.011031118639814208
RW_AGE_SEX,Sex,0.75333333,0.6248958969518628,0.9999999999999996,-3.3306690738754696e-16,0.033501306457633495,0.033501306457633495,0.008417319895483444
RW_AGE_SEX,Age,0.75333333,0.6248958969518628,0.9555835437094926,-0.033751021229550204,-0.0039525691699604515,0.14841269841269833,-0.07618263379132939
