,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_age,equal_opp_age,equal_odds_age,avg_odds_diff_age,tpr_age,fpr_age,fnr_age
RF,0.9937489292147631,0.8371714883395593,0.7449118046132973,0.8324091438377152,0.7139915508036121,-0.1540665607481464,-0.06676413255360625,0.2733918128654971,-0.15129704603388816,0.9212739345069392,0.6493927125506073,0.07872606549306083,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 RandomForestClassifier(max_depth=10, n_estimators=200,
                                        random_state=57))])",,,,,,,,
RW,,,0.74,0.832258064516129,0.7303571428571428,-0.07356671740233389,0.026082130965593753,0.19999999999999996,-0.0869589345172031,0.9214285714285714,0.6833333333333333,0.07857142857142857,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 RandomForestClassifier(max_depth=10, n_estimators=200,
                                        random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.705,0.802675585284281,0.7097619047619047,-0.07432775240994427,-0.04439511653718098,0.07500000000000007,-0.05969755826859052,0.8571428571428571,0.65,0.14285714285714285,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7f2748ab7750>,1.0,,,,,,,
DIR_rl_0.75,,,0.72,0.8157894736842105,0.735,-0.08320649416539827,-0.004439511653718142,0.17499999999999993,-0.08971975582685904,0.8857142857142857,0.6666666666666666,0.11428571428571428,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 RandomForestClassifier(max_depth=10, n_estimators=200,
                                        random_state=57))])",0.75,,,,,,,
EGR_DemographicParity_eps_0.01,,,0.735,0.8178694158075601,0.6638095238095238,-0.044901065449010624,0.0038845726970032635,0.050000000000000044,-0.02305771365149839,0.8571428571428571,0.65,0.14285714285714285,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.DemographicParity object at 0x7f2787d29b10>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.007220456561738319))",0.01,,,,,,,
ADV_ep_20_bs_64,,,0.725,0.8056537102473498,0.7482142857142857,0.009893455098934578,0.01220865704772467,0.10000000000000003,0.05610432852386235,0.8571428571428571,0.65,0.14285714285714285,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7f274847d350>,20,,,,,,,
MLRW,,,0.715,0.8167202572347267,0.7244047619047619,-0.10578386605783863,0.006104328523862335,0.2749999999999999,-0.1344478357380688,0.9071428571428571,0.7333333333333333,0.09285714285714286,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 RandomForestClassifier(max_depth=10, n_estimators=200,
                                        random_state=57))])",,-0.09417344173441733,0.10399999999999998,0.17582417582417575,-0.03591208791208789,0.9071428571428571,0.7333333333333333,0.09285714285714286
