,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_age,equal_opp_age,equal_odds_age,avg_odds_diff_age,tpr_age,fpr_age,fnr_age
LGBM,0.9253162333064875,0.845591420469637,0.7450625659580883,0.8452957245410074,0.801112404810861,0.0331764488741233,0.024840357598978253,0.1018925518925519,0.03131517269448303,0.9662969408262874,0.8482277526395174,0.03370305917371255,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",,,,,,,,
RW,,,0.735,0.8408408408408409,0.8074581430745814,0.007967680395017496,0.004091653027823217,0.00512820512820511,-0.0005182760501909467,0.958904109589041,0.8703703703703703,0.0410958904109589,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.79,0.864516129032258,0.7976915271435819,0.0911233307148468,0.03805237315875609,0.15384615384615385,0.09594926350245497,0.9178082191780822,0.5555555555555556,0.0821917808219178,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7f274874c610>,1.0,,,,,,,
DIR_rl_0.75,,,0.755,0.851063829787234,0.7886859462201928,-0.006845471888676902,0.004091653027823217,0.0871794871794872,-0.04154391707583199,0.958904109589041,0.7962962962962963,0.0410958904109589,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",0.75,,,,,,,
EGR_EqualizedOdds_eps_0.1,,,0.77,0.8516129032258064,0.7016742770167428,0.02379082033441815,-0.00040916530278234386,0.01025641025641022,0.004923622476813938,0.9178082191780822,0.5555555555555556,0.0821917808219178,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7f275c136ad0>,
                      eps=0.1,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.007140968371769175))",0.1,,,,,,,
ADV_ep_50_bs_32,,,0.82,0.8823529411764706,0.7898274987316084,-0.03591067220289523,-0.002454991816693841,0.2717948717948718,-0.1371249318057828,0.9178082191780822,0.5555555555555556,0.0821917808219178,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7f27458212d0>,50,,,,,,,
MLRW,,,0.75,0.8493975903614458,0.7814561136478945,0.03793064751430819,0.02332242225859238,0.04615384615384621,0.034738134206219295,0.9657534246575342,0.8333333333333334,0.03424657534246575,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",,0.08484848484848484,0.040983606557377095,0.2093023255813954,0.12514296606938624,0.9657534246575342,0.8333333333333334,0.03424657534246575
