Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.80333334,0.8360906862745099,0.89311957247829,-0.07619047619047614,-0.11347517730496459,0.11347517730496459,-0.05174666306264564
ORIGINAL,Age,0.80333334,0.8360906862745099,0.6187208169878124,-0.282584205236139,-0.13611111111111107,0.13611111111111107,-0.10538949966916067
MMRW,Sex,0.7866667,0.7990196078431373,1.0000000000000002,1.1102230246251565e-16,-0.0499831138129011,0.07259528130671505,0.011306083746906975
MMRW,Age,0.7866667,0.7990196078431373,0.9999999999999997,-2.220446049250313e-16,0.07777777777777783,0.168575355016033,0.12317656639690541
RW_SEX_AGE,Sex,0.7866667,0.7990196078431373,1.032619277405147,0.02228809029055101,-0.0499831138129011,0.11615245009074408,0.03308466813892149
RW_SEX_AGE,Age,0.7866667,0.7990196078431373,1.0,0.0,0.07777777777777783,0.168575355016033,0.12317656639690541
RW_AGE_SEX,Sex,0.7866667,0.7990196078431373,0.9999999999999997,-2.220446049250313e-16,-0.0499831138129011,0.07259528130671505,0.011306083746906975
RW_AGE_SEX,Age,0.7866667,0.7990196078431373,1.0088487755187647,0.006095876922784127,0.07777777777777783,0.168575355016033,0.12317656639690541
