,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_age,equal_opp_age,equal_odds_age,avg_odds_diff_age,tpr_age,fpr_age,fnr_age
LR,0.8421487641970636,0.8118127473898163,0.7547112920247248,0.8135461284202702,0.8270576917635742,0.06679789614572222,-0.01038267288267288,0.22475061170713342,0.011945874174135044,0.8439215686274509,0.3843476784653255,0.15607843137254904,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LogisticRegression(C=10, max_iter=2000, random_state=57,
                                    solver='liblinear'))])",,,,,,,,
RW,,,0.755,0.8150943396226416,0.8274920842886779,0.0681491315410997,0.011111111111111072,0.1595744680851064,0.08534278959810873,0.8372093023255814,0.39436619718309857,0.16279069767441862,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LogisticRegression(C=10, max_iter=2000, random_state=57,
                                    solver='liblinear'))])",,,,,,,,
PR_eta_1.0,,,0.765,0.8239700374531835,0.8158095861993667,0.052881955968580585,0.021428571428571463,0.09663120567375882,0.059029888551165144,0.8527131782945736,0.39436619718309857,0.14728682170542637,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7f2770180110>,1.0,,,,,,,
DIR_rl_0.1,,,0.755,0.8150943396226416,0.8271645376132766,0.0681491315410997,0.011111111111111072,0.1595744680851064,0.08534278959810873,0.8372093023255814,0.39436619718309857,0.16279069767441862,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LogisticRegression(C=10, max_iter=2000, random_state=57,
                                    solver='liblinear'))])",0.1,,,,,,,
EGR_EqualizedOdds_eps_0.001,,,0.775,0.8314606741573034,0.7632929359100338,0.052881955968580585,0.009523809523809601,0.1179078014184397,0.06371580547112465,0.8527131782945736,0.39436619718309857,0.14728682170542637,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7f2745682e50>,
                      eps=0.001,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0070754913767722884))",0.001,,,,,,,
ADV_ep_50_bs_64,,,0.745,0.8089887640449438,0.8200676929795829,0.03075561455913267,0.011111111111111072,0.05407801418439717,0.03259456264775412,0.8527131782945736,0.39436619718309857,0.14728682170542637,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7f27452693d0>,50,,,,,,,
MLRW,,,0.755,0.8136882129277566,0.8314226443934927,0.06128996570417089,-0.011111111111111183,0.18085106382978722,0.08486997635933802,0.8294573643410853,0.38028169014084506,0.17054263565891473,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LogisticRegression(C=10, max_iter=2000, random_state=57,
                                    solver='liblinear'))])",,-0.13833434160112923,-0.09070796460176989,0.09070796460176989,-0.08978369052369661,0.8294573643410853,0.38028169014084506,0.17054263565891473
