,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
DT,0.9149873985104414,0.5313103351273163,0.6050052766470677,0.5220125786163522,0.6014736829075064,-0.003602198455139649,-0.07492063492063493,0.21129202935654548,-0.02237951084725279,0.5384048821548822,0.33545751633986925,0.46159511784511786,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=20, random_state=57))])",,,,,,,,
RW,,,0.625,0.5454545454545454,0.6139122315592904,0.07112718505123566,0.08571428571428574,0.08571428571428574,0.04625850340136056,0.5555555555555556,0.3277310924369748,0.4444444444444444,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=20, random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.67,0.5925925925925926,0.7237265276480962,0.27094635322483424,0.09999999999999998,0.3571428571428571,0.22857142857142854,0.5925925925925926,0.2773109243697479,0.4074074074074074,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7b29381d6c10>,1.0,,,,,,,
DIR_rl_0.5,,,0.575,0.4970414201183432,0.5659819483348896,0.07594936708860761,0.0071428571428571175,0.10884353741496594,0.05799319727891153,0.5185185185185185,0.3865546218487395,0.48148148148148145,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=20, random_state=57))])",0.5,,,,,,,
EGR_EqualizedOdds_eps_0.01,,,0.695,0.6114649681528662,0.715738147110696,-0.05907172995780591,-0.09285714285714286,0.11224489795918369,-0.10255102040816327,0.5802469135802469,0.2773109243697479,0.41975308641975306,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7b29386fc690>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.007864493756517791))",0.01,,,,,,,
ADV_ep_10_bs_64,,,0.685,0.5531914893617021,0.7408444859425252,0.22302591922845083,0.18571428571428572,0.19047619047619047,0.1880952380952381,0.5802469135802469,0.2773109243697479,0.41975308641975306,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7b2948997710>,10,,,,,,,
MLRW,,,0.61,0.524390243902439,0.5973648718746759,0.047317661241711884,-0.07380952380952388,0.11224489795918363,0.019217687074829876,0.5308641975308642,0.33613445378151263,0.4691358024691358,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', DecisionTreeClassifier(max_depth=20, random_state=57))])",,0.010110294117647078,-0.040983606557377095,0.07969696969696971,0.019356681569796308,0.5308641975308642,0.33613445378151263,0.4691358024691358
