Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.75666666,0.697124235036569,0.8965673282047968,-0.07480130902290782,-0.04878943506969913,0.2715121136173768,-0.16015077434353797
ORIGINAL,Age,0.75666666,0.697124235036569,0.7948260481712757,-0.14944769330734242,-0.1817444219066937,0.35821596244131454,-0.26998019217400415
MMRW,Sex,0.74,0.6650579630827405,0.9999999999999999,-1.1102230246251565e-16,0.0029347028613353476,0.06098579782790314,-0.029025547483283898
MMRW,Age,0.74,0.6650579630827405,1.0000000000000002,2.220446049250313e-16,0.0024340770791074773,0.04413145539906105,-0.020848689159976785
RW_SEX_AGE,Sex,0.74,0.6650579630827405,1.0379545551958014,0.026259247005897213,0.0029347028613353476,0.06098579782790314,-0.029025547483283898
RW_SEX_AGE,Age,0.74,0.6650579630827405,1.0000000000000002,2.220446049250313e-16,0.0024340770791074773,0.04413145539906105,-0.020848689159976785
RW_AGE_SEX,Sex,0.74,0.6650579630827405,1.0000000000000002,2.220446049250313e-16,0.0029347028613353476,0.06098579782790314,-0.029025547483283898
RW_AGE_SEX,Age,0.74,0.6650579630827405,1.0178092573414808,0.012424437774727015,0.0024340770791074773,0.04413145539906105,-0.020848689159976785
