Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.82,0.6063717561009916,0.7626931567328917,-0.20742884708152443,-0.12228360957642725,0.4285714285714286,-0.27542751907392793
ORIGINAL,Age,0.82,0.6063717561009916,0.8700564971751412,-0.10952380952380958,-0.1208782104391053,0.16091954022988508,-0.1408988753344952
MMRW,Sex,0.8066667,0.5276742386947043,0.9999999999999999,-1.1102230246251565e-16,-0.005616942909760669,0.04404761904761911,-0.02483228097868989
MMRW,Age,0.8066667,0.5276742386947043,0.9999999999999996,-3.3306690738754696e-16,-0.04225352112676062,0.13793103448275867,0.04783875667799903
RW_SEX_AGE,Sex,0.8066667,0.5276742386947043,1.003593329486041,0.0029073707691703587,-0.005616942909760669,0.04404761904761911,-0.02483228097868989
RW_SEX_AGE,Age,0.8066667,0.5276742386947043,0.9999999999999998,-2.220446049250313e-16,-0.04225352112676062,0.13793103448275867,0.04783875667799903
RW_AGE_SEX,Sex,0.8066667,0.5276742386947043,1.0000000000000002,1.1102230246251565e-16,-0.005616942909760669,0.04404761904761911,-0.02483228097868989
RW_AGE_SEX,Age,0.8066667,0.5276742386947043,1.0072164350708384,0.005832700997254858,-0.04225352112676062,0.13793103448275867,0.04783875667799903
