,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
LGBM,0.32585327339954867,0.3037252308805932,0.8587997372022745,0.5207009805238506,0.8600253567304269,-0.02231008051973607,-0.010586316669765727,0.018572791170730425,-0.010683670683520682,0.42936462573906425,0.04759356927122923,0.5706353742609357,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', LGBMClassifier(max_depth=10, random_state=57))])",,,,,,,,
RW,,,0.8586,0.5170765027322405,0.8596572130488368,-0.007223946471358489,0.01934776930476717,0.01934776930476717,0.010417926301434167,0.42337807606263983,0.04663906478324403,0.5766219239373602,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', LGBMClassifier(max_depth=10, random_state=57))])",,,,,,,,
PR_eta_1.0,,,0.857,0.4936260623229462,0.8550736304485931,-0.0250765463752822,-0.030878708534806232,0.030878708534806232,-0.021062055451159845,0.38982102908277405,0.04128105211885046,0.610178970917226,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x781799005dd0>,1.0,,,,,,,
DIR_rl_0.75,,,0.8583,0.5194981349610037,0.8607371312892902,-0.023846434400467104,-0.01716262446725153,0.01716262446725153,-0.01419731232532492,0.42841163310961966,0.04810034096444228,0.5715883668903803,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', LGBMClassifier(max_depth=10, random_state=57))])",0.75,,,,,,,
EGR_EqualizedOdds_eps_0.001,,,0.8581,0.5008793527963419,0.6782210733242453,-0.010465974920537802,0.008256407316094228,0.008256407316094228,0.003626194873444462,0.38982102908277405,0.04128105211885046,0.610178970917226,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7817a61eed50>,
                      eps=0.001,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0008798848443449568))",0.001,,,,,,,
ADV_ep_20_bs_32,,,0.8569,0.4721504979712283,0.858244530293966,-0.012027397053903086,0.007976097191165099,0.007976097191165099,0.0019789994761369063,0.38982102908277405,0.04128105211885046,0.610178970917226,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7817a630f150>,20,,,,,,,
MLRW,,,0.8517,0.49194929770469337,0.8466926776006303,-1.3242686938752524e-05,0.030744924156999143,0.030744924156999143,0.01886121813097441,0.4015659955257271,0.05029225523623965,0.598434004474273,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', LGBMClassifier(max_depth=10, random_state=57))])",,-0.06285920161129753,-0.032017843866171014,0.032017843866171014,-0.022312906437723514,0.4015659955257271,0.05029225523623965,0.598434004474273
