,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
GBM,0.3696456202512503,0.3541339395702501,0.9171001083311691,0.5769731301646612,0.9105862366855457,-0.026644150924490045,0.007398905670451983,0.051475553204006874,-0.00036980390871164715,0.4703067665164819,0.021716815147217808,0.5296932334835182,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",,,,,,,,
RW,,,0.9177,0.581596339603457,0.9089728809754805,-0.014715288249282435,0.05298988617045447,0.05298988617045447,0.02675048217661165,0.4735099337748344,0.02126933575978162,0.5264900662251656,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",,,,,,,,
PR_eta_10.0,,,0.9042,0.47130242825607066,0.8754582544938505,-0.023144737485288884,-0.0033764992518430237,0.009057842973139978,-0.006217171112491501,0.353476821192053,0.0201319381255687,0.6465231788079471,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7817cc32a050>,10.0,,,,,,,
DIR_rl_0.75,,,0.9155,0.575590155700653,0.9082733061060929,-0.020816682658758218,-0.004708297100597725,0.004708297100597725,-0.0027230424266605144,0.47433774834437087,0.02388535031847134,0.5256622516556292,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",0.75,,,,,,,
EGR_DemographicParity_eps_0.1,,,0.9045,0.45769449176604204,0.6627310950954811,-0.013901250675021758,-0.0003055300947143458,0.0003055300947143458,-0.0001566916488422547,0.3567880794701987,0.021610555050045496,0.6432119205298014,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.DemographicParity object at 0x7817e01ed9d0>,
                      eps=0.1,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0007424500927193229))",0.1,,,,,,,
ADV_ep_20_bs_64,,,0.9019,0.39407041383570107,0.8884409705692712,-0.010609865668912338,0.010442861955235971,0.010442861955235971,0.00499492807089957,0.3567880794701987,0.021610555050045496,0.6432119205298014,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7817a3b11950>,20,,,,,,,
MLRW,,,0.9148,0.548728813559322,0.8990979062091364,-0.008830182018702351,0.08355856385187271,0.08355856385187271,0.04279255177232357,0.4288079470198676,0.018425841674249318,0.5711920529801324,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 GradientBoostingClassifier(max_depth=5, random_state=57))])",,-0.05226999776726326,-0.04177153902730191,0.04177153902730191,-0.02202157582843582,0.4288079470198676,0.018425841674249318,0.5711920529801324
