train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
0.6451744317685684,0.6433347789253193,0.7216141514648977,0.6597175459779877,0.8027088307006198,0.1401560021156417,-0.0914023174774012,0.09195159526436385,-0.0033538820104646594,0.8106040744682579,0.3227432636383805,0.1893959255317421,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', GaussianNB(var_smoothing=1e-07))])",,,,,,,,
,,0.6224433388612494,0.6032299291274544,0.7848313085026599,-0.022630239976329847,-0.17179410593389088,0.17179410593389088,-0.1411718907324704,0.8618857901726428,0.49709928725343944,0.13811420982735723,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', GaussianNB(var_smoothing=1e-07))])",,,,,,,,
,,0.8060807075732449,0.6720269259536276,0.8607089956104639,0.21313680080319014,0.046623428343858464,0.07000953450900975,0.05831648142643411,0.5966135458167331,0.08934195259406597,0.4033864541832669,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7a8863f5ff50>,100.0,,,,,,,
,,0.7454947484798231,0.6687769784172661,0.804763431494201,0.1612617831419828,-0.08042470273653068,0.10801157445047227,0.013793435856970793,0.7715803452855245,0.2675285927399304,0.22841965471447542,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', GaussianNB(var_smoothing=1e-07))])",1.0,,,,,,,
,,0.8189054726368159,0.7095744680851064,0.7865325536904263,0.17952191319495814,-0.012978608408716008,0.02515558249198066,0.006088487041632326,0.5966135458167331,0.08934195259406597,0.4033864541832669,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7a8863b35590>,
                      eps=0.001,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0009997953715250895))",0.001,,,,,,,
,,0.8430071862907684,0.75659924580048,0.9123426730670555,0.32947200470079,0.17822296182511232,0.17822296182511232,0.13398464976944985,0.5966135458167331,0.08934195259406597,0.4033864541832669,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7a88683bf7d0>,10,,,,,,,
,,0.6097291321171918,0.5961098398169337,0.7805006836018542,-0.018040507745166634,-0.16148233486943164,0.16148233486943164,-0.1304758272227393,0.8648738379814077,0.5176529090004973,0.1351261620185923,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf', GaussianNB(var_smoothing=1e-07))])",,-0.11005030529832127,-0.08193421793465683,0.08193421793465683,-0.06710836882720844,0.8648738379814077,0.5176529090004973,0.1351261620185923
