Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.7923333,0.7862300877493255,0.40985070515512967,-0.13407907242319278,-0.18925960735171266,0.18925960735171266,-0.18603314904822776
ORIGINAL,Race,0.7923333,0.7862300877493255,0.787496956857663,-0.03562754502170157,-0.040997455470737965,0.051486721602071905,-0.046242088536404935
MMRW,Sex,0.77973336,0.7734865025502882,1.0,0.0,0.05566868560289617,0.05566868560289617,0.023391889690222448
MMRW,Race,0.77973336,0.7734865025502882,0.9999999999999994,-8.326672684688674e-17,0.05670483460559794,0.05670483460559794,0.025015548058898426
RW_SEX_RACE,Sex,0.77926666,0.7727010322769562,1.0091876808644873,0.001469759396841075,0.05740479671400722,0.05740479671400722,0.02535371318484672
RW_SEX_RACE,Race,0.77926666,0.7727010322769562,0.9999999999999998,-2.7755575615628914e-17,0.05516030534351146,0.05516030534351146,0.02527453213506227
RW_RACE_SEX,Sex,0.7795333,0.7733675210320841,1.0,0.0,0.05775114870509612,0.05775114870509612,0.024496266763300967
RW_RACE_SEX,Race,0.7795333,0.7733675210320841,1.0885525825388616,0.013986346506252995,0.07497201017811705,0.07497201017811705,0.04285643270007089
