,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_race,equal_opp_race,equal_odds_race,avg_odds_diff_race,tpr_race,fpr_race,fnr_race
LGBM,0.8390832035633233,0.8292603858458107,0.7688225538971807,0.8412815249857909,0.8674749298412411,-0.14574112193501013,-0.09266992575044297,0.10858165634745058,-0.005282742462369132,0.9078096734572698,0.5195752324244413,0.09219032654273022,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",,,,,,,,
RW,,,0.7377556661138751,0.8267854534832774,0.8574054135140252,0.08649176676114512,0.047784031084328826,0.6226869637597644,0.3352354974220466,0.9271208647232231,0.6556651922422593,0.07287913527677695,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",,,,,,,,
PR_eta_10.0,,,0.7466003316749585,0.8060913705583757,0.8296405947017236,-0.2432124326756463,-0.19005427324232993,0.19005427324232993,-0.07048242630522913,0.7802161808057648,0.3232391970057843,0.21978381919423517,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7ee83da18c10>,10.0,,,,,,,
DIR_rl_0.75,,,0.7609729132117192,0.838343053686257,0.8651109518390481,-0.13610237322202734,-0.08863446055849145,0.08863446055849145,-0.007340664777901129,0.9181133311496888,0.5654984688669615,0.08188666885031116,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",0.75,,,,,,,
EGR_EqualizedOdds_eps_0.1,,,0.7200663349917081,0.7956746287927695,0.7094793612717236,-0.0804002487639095,-0.01433446383108461,0.053846980590161575,0.019756258379538483,0.7911889944317065,0.3337870023817625,0.2088110055682935,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x7ee7f6fd9950>,
                      eps=0.1,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.001141594222615234))",0.1,,,,,,,
ADV_ep_20_bs_32,,,0.7692647871752349,0.83022858537379,0.8590104646649133,-0.2016843975748306,-0.14865874850727412,0.14865874850727412,-0.017324407457083635,0.7911889944317065,0.3337870023817625,0.2088110055682935,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x7ee7f5def050>,20,,,,,,,
MLRW,,,0.7347705914870094,0.8259197445758654,0.8571977295298094,0.09500676909048722,0.05177507858330321,0.6345036862228564,0.3431393824030798,0.9320340648542418,0.6750595440626064,0.06796593514575827,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('clf',
                 LGBMClassifier(learning_rate=0.01, max_depth=10,
                                random_state=57))])",,-0.02617551608364954,-0.00919471652600301,0.03197172913047697,0.011388506302236978,0.9320340648542418,0.6750595440626064,0.06796593514575827
