,train_cv_f1,val_cv_f1,accuracy,f1,roc_auc,stat_parity,equal_opp,equal_odds,avg_odds_diff,tpr,fpr,fnr,best_model,best_parameter,stat_parity_sex,equal_opp_sex,equal_odds_sex,avg_odds_diff_sex,tpr_sex,fpr_sex,fnr_sex
MLP,0.536609544759924,0.536609544759924,0.8737001174622562,0.5424673857580805,0.8742333084274257,-0.042299771045525236,-0.08479017684497138,0.09145859898585622,-0.05021383386273629,0.4628569647679401,0.047018587622252896,0.53714303523206,PyTorchMLPWrapper(input_dim=56),,,,,,,,
RW,,,0.8607,0.3331737673528004,0.8477295662510257,-0.010951644518236575,-0.027818571707063477,0.027818571707063477,-0.013150126970490176,0.21494749845583694,0.014556735473093902,0.7850525015441631,PyTorchMLPWrapper(input_dim=56),,,,,,,,
PR_eta_1.0,,,0.8691,0.4844426939740055,0.8468474716222958,-0.038276808540570334,-0.09768341022808497,0.09768341022808497,-0.05498438745752077,0.37986411365040146,0.03639183868273476,0.6201358863495985,<aif360.algorithms.inprocessing.prejudice_remover.PrejudiceRemover object at 0x7817a3e44250>,1.0,,,,,,,
DIR_rl_0.5,,,0.8628,0.45251396648044695,0.8518193782091452,-0.009222756226750894,0.005010072129443099,0.005010072129443099,0.004516044396185689,0.3502161828289067,0.03818160124090204,0.6497838171710932,PyTorchMLPWrapper(input_dim=56),0.5,,,,,,,
EGR_EqualizedOdds_eps_0.01,,,0.8715,0.4974579585451701,0.6892354239003057,-0.014004155262619153,-0.0022288647735395073,0.0022288647735395073,-0.00020402695006775662,0.37986411365040146,0.03639183868273476,0.6201358863495985,"ExponentiatedGradient(constraints=<fairlearn.reductions._moments.utility_parity.EqualizedOdds object at 0x78179a841410>,
                      estimator=LogisticRegression(random_state=57,
                                                   solver='liblinear'),
                      nu=np.float64(0.0008340503654419395))",0.01,,,,,,,
ADV_ep_50_bs_64,,,0.8722,0.48426150121065376,0.8706979278035506,-0.005137242211214504,0.007723048931054632,0.009695321420752464,0.008709185175903548,0.37986411365040146,0.03639183868273476,0.6201358863495985,<aif360.algorithms.inprocessing.adversarial_debiasing.AdversarialDebiasing object at 0x78179ad33150>,50,,,,,,,
MLRW,,,0.8594,0.5138312586445366,0.848116592731331,-0.010006140243837502,0.026492949509389796,0.026492949509389796,0.015232922909985826,0.4589252625077208,0.063238277055244,0.5410747374922792,PyTorchMLPWrapper(input_dim=56),,-0.15140784162982895,-0.27985908265571957,0.27985908265571957,-0.17541237230360773,0.4589252625077208,0.063238277055244,0.5410747374922792
