Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference
ORIGINAL,Sex,0.7590477,0.7576999206503394,1.6072799861154983,0.22592717274261187,0.16716339945536163,0.20541887017735877,0.1862911348163602
ORIGINAL,Race,0.7590477,0.7576999206503394,0.9569890907535562,-0.019274919461288342,-0.001020342117429518,0.06476816189475082,-0.03289425200609017
MMRW,Sex,0.7553623,0.750045284280475,1.0000000000000002,5.551115123125783e-17,-0.0015622334591074427,0.03538290092286264,-0.018472567190985043
MMRW,Race,0.7553623,0.750045284280475,0.9999999999999999,-5.551115123125783e-17,0.026468331021729075,0.027184384252835814,-0.00035802661555336956
RW_SEX_RACE,Sex,0.7553623,0.7500608734105074,1.0105769425698063,0.0046953014030407525,0.004187757923197255,0.031829257978657266,-0.013820750027730005
RW_SEX_RACE,Race,0.7553623,0.7500608734105074,0.9999999999999997,-1.6653345369377348e-16,0.023469717984281102,0.025186684338406345,-0.0008584831770626217
RW_RACE_SEX,Sex,0.75528854,0.7499161988133277,0.9999999999999997,-1.6653345369377348e-16,0.0009386658747225773,0.03336941867117732,-0.01621537639822737
RW_RACE_SEX,Race,0.75528854,0.7499161988133277,0.9213069616188994,-0.035438123901218144,-0.012083680073971315,0.05579216562455716,-0.03393792284926424
